Genes,actin_A1,actin_A2,actin_A3,control_C1,control_C2,control_C3,troponin_T1,troponin_T2,troponin_T3
MRRF,9.617304516752203,9.059084833483448,7.547472964890733,7.0541430159019685,7.4675729464368334,7.1485375935418896,NA,9.62760319053442,NA
MTERF3,9.153957756404745,8.469324348706607,8.93377326089226,8.527128996993552,8.721485451069201,9.260220678726915,8.879077758344819,8.724090097894694,NA
OMA1,10.947417777755813,10.561240204631696,10.557626438375916,10.640735751005785,11.029732042527419,11.07842437336258,10.695715488609974,10.64190723562928,10.703068161304719
L3HYPDH,8.156338229090826,8.367704771632656,7.968373040947617,7.7395365348800365,7.304930793315927,7.53093688598466,8.237965175865781,7.688834613021786,NA
DAZAP1,7.295236289965384,7.887080304613262,8.1897949141568,7.434820018274857,7.567217507234982,7.456906230905707,7.36581852542723,8.586016895062068,NA
CCDC51,8.757916651109664,8.6586863512256,8.601257829092017,8.551354512874868,9.779913014516758,9.112051339267673,9.044340646109859,9.691396323451206,NA
DNAJA3,9.023971517301115,8.833726834623281,8.839604936791348,9.13211667377102,9.134913079963496,8.904149878996156,8.773998049442778,9.30219108195258,8.496389474186145
PTCD3,9.259110033443314,8.390658742411588,9.073391816052922,9.05070406958858,9.254837299696106,9.132029250797979,9.099851333236728,8.963105251684702,8.731433754612036
MMAB,10.779574205250906,11.102284130541495,11.11416123194515,11.499108409721238,12.322488720931226,11.526582375099435,11.0222568322183,10.730501530925697,11.00465337005039
CNRIP1,9.646175260518984,9.84863545833634,9.753168268461504,NA,9.598964367498468,9.750703636958052,10.012568673503056,10.501150497658086,10.087502620896052
S100A16,10.377882776372086,11.016390458352875,11.734599551264635,9.92328806904178,9.945207666955433,10.660575871045996,10.948630046822235,11.860477898113936,11.93059690446907
SCRN2,9.306731600759585,9.729143774096062,9.987519973959136,9.003111272463018,9.177768334001305,9.630601468367622,10.2477139408043,10.418953362362721,10.17944884664021
OTUB1,12.808532453518612,12.931458982878338,13.484193528531758,11.671180110616685,12.330415996750194,12.627323077561849,13.204277684905026,12.980421975856823,13.183980298287098
CHMP6,10.252159932920314,9.923629067791753,10.094202887532123,9.766373650304416,9.904998824206745,10.173283648475621,9.996341906065894,10.218806544363275,10.558100548420962
DCUN1D1,9.102295090028381,9.606827132355034,9.513347817989615,9.239827034161351,9.70538529387814,9.67214750776488,10.036585752262297,10.402297957910944,9.7825478081604
FAHD2A,9.820711895102551,10.214466274496512,10.256122620446078,9.954241393902477,10.536334649101741,10.089437074921161,10.325974502114809,9.93979115936671,10.602995823024274
RUSF1,11.505513855729408,10.955169964020065,11.412595295034649,11.11625297760024,11.15423154098307,11.424176788743798,11.523027707151376,11.13759317708359,11.384566164219436
MARS2,NA,NA,9.230126263213048,6.954493268073925,7.486786763360844,7.749453817747353,7.57879534192275,NA,NA
APIP,9.290074156864353,9.487793818617734,8.766376514851451,8.156310652648038,8.5243223068461,8.557521140203868,9.474484919557767,8.960876554252303,9.638101068723405
SNF8,10.65070174135995,11.25253300140976,11.720137126429266,10.438930331476286,10.832604730078549,10.859228001249779,11.315932715472183,11.515099217724753,11.670151191801825
PDLIM5,18.371904837172167,18.029972987896635,16.372042830658902,18.546073263939782,18.230110074520525,18.19221304906787,16.68743529583398,15.873402671796867,17.547997480572306
CRELD1,11.178387763645304,11.557186049426148,11.217594252833626,10.884208685139068,10.68087813234594,11.728205392719525,11.018012351899907,11.188495150910484,11.137180381175936
DDRGK1,8.149898513876096,8.121331474084986,8.396686117778554,8.069328177977862,8.140440754589184,8.44573484361668,8.206540278949893,8.399713408413074,7.900957350853338
DHTKD1,7.369998584336626,8.634092245679517,7.943323595150882,8.225655723642085,8.20249608419658,7.907555500479835,8.539240251271325,8.067138530885698,NA
NARS2,8.214713661786151,8.985480506585228,NA,8.362536080072216,7.9168970211543215,7.714533288959055,8.96487221315128,NA,NA
SUCLG2,12.662533069734566,13.013148820210638,12.749569882087497,12.755562043235754,12.958499480998864,13.234917690001057,12.930709621587626,12.577375371023635,13.123744225914056
ABHD14B,8.831671434778126,9.489334197301535,8.955321522646058,8.469926665429936,8.568620588179597,8.940650169164702,8.961603526970363,9.318023029534027,9.367220903636733
NGLY1,9.871515642001327,10.043413354866395,10.045964381252604,9.895292966322945,9.980163565747198,9.852768248266539,10.14067642036902,10.23381969422094,9.645308877024291
ATP5MK,9.42878176146488,9.654975137419395,9.63063480611705,9.74017033789358,10.158521331481863,10.484719789147974,9.64519428056769,9.763839777807926,9.401239706376444
TMX3,9.537742568644425,9.646702012860665,9.348566616448526,9.476233036327788,9.272974964157955,9.765188018213998,9.52460243819276,10.41831646499879,10.072078996295613
SERAC1,8.088184008493993,8.298777435618263,8.429225688249737,8.17447794789378,8.144683731918391,8.237186055088182,8.407369747918345,8.680370073347467,NA
BTF3L4,10.878357510336935,10.497103357016877,10.66778570693873,10.57338171132394,10.401445655447185,10.495885920234013,10.61322774442748,10.690627092468564,11.03102569657172
USP47,9.924108795538135,10.463350667235584,10.486181387957796,9.539533521560035,9.479475231546367,9.695601534854706,10.107020810616392,10.27051726248369,10.328843194541275
CNDP2,12.81064336654543,13.38741679957317,13.5423327800794,11.586182172045515,11.996862867073016,12.09152464287987,12.744686288549827,12.699813171552522,13.422597407739294
ALPK3,10.4761386254757,10.69039223133521,10.638091943179562,10.544906492065886,9.864195432360699,10.516468282590886,10.413765422732652,11.64118544206957,11.240135412604904
CARD19,8.149652012128886,6.825213217760013,8.493639328942344,8.024790614946992,8.157639992504707,6.797648557750165,7.538499364295665,7.623934677555276,NA
STAC3,8.372960801402956,9.127767391309254,8.987553943320169,8.666450172331729,9.148395229679668,8.907308616421624,8.766876703594937,8.112708126364444,NA
COQ10A,13.181129131366252,12.82450335283696,12.44416474495581,13.556865246766623,14.03168281029232,13.037922678360275,12.331135282026985,13.175714309244063,11.885055536246256
JSRP1,13.075302795931938,13.308054559066635,12.655121949081106,13.520297374792392,13.456303072734189,13.329184263699231,12.635905280438504,12.90831581067881,12.08968550407326
AGBL1,7.8534842279043415,7.72760057633519,7.964063566421412,6.609339553142132,6.9836605705096195,7.81815393865716,NA,NA,NA
PGLYRP2,9.24167575499914,9.320480296114388,9.323794361670277,8.223166696022009,8.459210279124434,8.452641733947527,9.283924086690773,10.94427409941525,NA
RBM14,6.9833326270056535,NA,NA,7.8505869229349585,8.297466573763211,NA,NA,9.28185354470915,NA
NEDD4L,8.423772097366694,8.75248769473506,8.77941732593387,8.13645268128694,8.157003865578723,8.49693790143507,8.417056320303738,6.473858330393169,NA
QKI,12.358520637996596,12.376736086945137,12.573566719974702,11.751247707893725,11.761646540661467,11.62696380700029,12.047552807212636,12.451916829271251,12.738447967235414
PLIN4,12.37599447278969,12.98247329765833,12.129208565340655,12.438147190023479,12.425409835209678,12.289819953795703,12.629416838177711,12.134601018527718,12.99335354613345
ASB2,7.631730013141897,8.039752549374999,NA,8.010298711026977,7.576718442313773,7.759164206677503,6.687760584070346,7.932356504189399,NA
VPS35,9.730305393912689,9.402931841288922,10.129669401371029,8.900404950919647,8.812173981350167,9.396696739395896,9.81898481665927,10.80570423321778,9.649670259514723
SNX18,9.030451957269163,9.174249104577573,9.438773143155263,8.575373558254414,8.307924821634328,9.06602822256907,8.479788346331619,10.917705475249752,10.924471084753804
GFM1,9.759652121003104,10.36666098921143,10.255935018852604,9.651956753604743,10.22164753436508,10.23824423412301,10.016028241687076,10.420664127161892,10.183929906663225
MCCC1,8.978888181011039,9.047506009599793,8.685424389633567,9.1448417542041,9.416847161601247,9.099458276897177,8.961452588467592,10.432610727915726,NA
METTL26,11.054095520550748,11.010059486073818,10.908353386870523,10.267799905333174,10.55792270050868,10.827231861498909,11.178939678362358,11.170946749377848,10.967680182361143
RANBP9,9.975801599442985,9.790012833563804,9.310515084041763,9.430780779718422,9.392188604970658,9.795909969602178,9.928945659303134,9.80370136807744,10.002829076893704
UBL7,8.6132148499243,8.973886747952774,8.95782175812709,8.524036242489595,8.779392194857952,8.951762619614827,8.785774159258722,7.989383145584285,8.536503672011067
PEBP4,9.912961169879308,9.742397442903957,10.401391544803525,9.651956956092787,10.117071623845122,9.471470428205095,10.078924664094904,9.806770318918677,9.194003304958738
CRBN,9.32666965636111,9.720291835292574,10.081576641038568,9.679928672731426,9.567330581911422,9.528018403821136,9.84994767119074,9.155869293939386,9.994287333326193
NMNAT3,9.731918892519264,9.736481421117738,9.535382310969307,9.372511726042799,9.58543056008952,9.96520853447097,9.844826127494233,8.682766402188369,9.572512654466196
NIBAN2,9.546423771362102,9.815040595026428,9.516298865943233,8.442076789402067,8.197336457181905,9.327489770398154,10.00295562230673,10.25691629667084,10.233044401265582
TBCB,10.962585170818521,11.04879738136972,11.186949893744675,9.746976412785882,10.285564050575163,10.077820586444385,10.716629450407797,10.731316715620608,11.269911129116213
PSMB7,13.521647011581985,13.340086536499733,13.773664664210639,13.363806234843286,13.338750308134516,13.301831178153376,13.604553229079038,13.657291652733397,13.709150498220515
PCYT2,11.882314432029748,12.216989662776076,11.967110188492008,10.933402972352072,11.823113020367627,11.633163259508889,11.448058780019066,11.144741080716557,11.670120670883975
CDC5L,9.759289741866818,7.308902287988214,8.256619143522029,8.282093584828957,8.011462007472609,8.390366162966618,8.22672425709284,10.331051284434999,9.269874722482472
PSMD1,12.404079798037747,12.444061067615277,12.515877973899666,12.330237584614181,12.156572953081046,12.151813470124806,12.340459346047385,12.620726606336687,12.550093297488779
PFDN5,9.723883333095259,9.923510225122358,10.188353940502234,9.374236508637969,9.619612293639452,9.669491001566346,9.904931719277945,9.900193594459276,10.420170774890945
PARK7,13.515693446246704,13.68182732126879,13.75320630088619,13.07426663903535,13.508789593329443,13.695532011058042,13.73932486308579,13.26704637136651,13.55977452535236
VAT1,10.624119176839942,11.490680430148778,10.91299409243996,10.08086893154098,9.791379439390422,10.298463578910917,10.761866995188031,11.729187360167202,11.212843162079167
PLIN2,10.612527590371888,10.863690713660095,10.349614929350047,10.96069338701756,11.997942502103761,11.958677378341047,10.60800526313585,11.13518101788587,11.702216960375448
S100A13,13.489422885807361,14.58979240146866,14.222579009645116,12.52266738826327,13.625363174015167,13.978372003732769,14.203822093292212,14.670667416789852,15.150205144112753
EIF3C,7.648817732831215,6.955443953960163,6.99162387983775,7.712643924501106,7.239741717680673,7.071633974064352,8.951194361539173,8.223142556518036,6.4829015121137195
DNAJC7,8.976240465197973,8.879327077386495,8.827984112315225,8.441082469338028,8.603630112714683,9.147064007413398,8.87796120021046,8.361058089683954,8.851584781614159
C12orf57,10.570257434764208,10.553635765233334,10.425960666289143,11.006069265053473,11.66952731907924,11.14219642502381,9.886408394841245,10.530620920807907,10.308134216621259
PHB2,12.325429141490183,11.659059352547674,12.485401668345947,12.699136455808056,12.886349258687067,12.345833007971205,12.305474691712528,13.035584776524658,11.59466517413074
SDHC,10.257718830043988,9.91190107372627,11.114037779751257,9.860013017199787,10.429806954389148,10.815664653202454,10.591849730276387,10.285714306627241,NA
CHP1,10.379400028996336,10.19896063604705,10.214089776278463,9.904458507299154,9.507309628843663,9.861465628390754,9.958828178636637,10.384200943294168,9.958906458581842
HSD17B10,9.382320324595259,8.937153377612304,9.042772909248468,7.930236598640047,7.990613625982976,8.232540846966751,8.143485257775469,8.878164361437866,7.259748604555549
HNRNPAB,9.518153485595477,NA,9.181445488071027,7.365539149273449,7.665165342170783,11.173152424516989,NA,9.546845883005723,NA
NAP1L4,11.530452966731893,11.699233203326978,11.698088221323443,11.17548093834557,11.532330539076714,11.438116080662125,11.503389742958934,11.383747486289744,11.457873322486426
MGST2,9.42403078370907,8.836577458037084,9.165872379400309,9.500794343468247,9.395731427191734,9.413822531652093,9.5227051014726,10.382034138991603,9.268551225482483
TXN2,8.757576689194178,8.817020793840666,9.194821015167697,9.22850847771302,9.461825243375955,9.635270438567442,8.806662235488242,9.041092365034332,NA
DMAC2L,12.47918659614505,12.015645028917303,12.433966736291204,12.2195142958018,12.77814224838979,12.882958837795204,12.444122860880597,12.509245523194055,11.799945335232232
MIPEP,9.662365742720949,9.418067637580615,9.02407029801886,8.978012064171786,9.02697983184213,9.712035346046399,9.644900274279358,8.78724240548349,10.069470507083128
ACO2,17.231145241270212,17.607389509065285,17.132112029581535,17.17066773500158,17.9615112907148,17.86535668398448,17.35679365639075,16.373932626101677,17.252563803539342
TM9SF2,11.038973843574201,10.78917525320734,10.6076889958012,10.244858581230165,10.957103968830767,11.235000091940051,10.505533704186679,11.169048097383168,NA
COQ7,11.161748418468822,11.299279136766238,10.695341405490323,11.299146263743511,11.106078689418506,11.545006534549795,11.218084881996964,11.293667060429641,11.63428922647243
TSG101,10.69169118345632,10.931993140458385,10.979568100095186,9.952017534479157,10.355406160070203,10.333043509150757,10.867996819211138,11.030501616805008,10.484634020447537
CPNE1,10.20124177119825,11.042880153943536,11.05623804000347,10.257458561304508,10.658670615134962,10.656719625014418,10.93960859680654,11.902028834486275,11.824462985688918
CCT7,15.38610472362345,15.40139583221709,15.456456170772448,15.143997552733257,15.289982836722801,15.248657424909094,15.487460095872141,15.707781006330091,15.370234450416511
PRMT1,9.288102431555851,10.340873774920256,9.109728813387363,9.040319862487582,8.918881121813007,9.684271409046287,9.845024236157025,10.834852104365439,9.204883686539095
SH3GL1,11.606895590137817,11.489441580893205,11.512501205303654,12.010786830705907,11.519523230752915,11.580313574143883,11.711808913321,11.703506701782485,11.91161668919753
ARPC5L,8.555758648532848,8.854154649148665,9.422731229826214,7.598149297097644,7.852042546912926,8.625891451132665,8.963965342736357,9.219253239998828,9.904615970275348
MACROD1,14.850238207070893,15.040994970608494,14.590709842175727,14.781414232191093,14.970305301992616,15.051867366854431,14.161278670525437,13.339851892020743,15.058396218910215
ECSIT,8.550635212652546,9.319247832406159,8.148542677705727,8.362224392285741,8.820144692785053,9.01956849011264,8.954950882429056,9.091340634387127,8.635028799027445
WDR77,11.794338693098616,11.46530620649843,11.571612738683143,11.537730041633267,11.808123564228366,11.508990830155081,11.776379567840817,11.728584188891283,10.500971308088735
VKORC1,9.368990916163698,NA,NA,8.608073665038917,8.544739146164332,9.9572415062583,9.379012231332991,11.812847638380589,NA
MRPL57,9.392693075701306,9.233236259687356,9.774579533745472,9.50151876189358,10.20008782941507,9.182456430168846,9.367019348388396,10.059682447247638,NA
