"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASS1",1.06003721994636,11.9541054146928,9.13193761800741,2.53925364495302e-06,9.2416424406542e-05,4.76414306691876
"NGRN",-3.4998922674086,14.0113523168487,-9.12235011532066,2.5645166840394e-06,9.2416424406542e-05,4.7535772280744
"AK1",-1.27287787383164,19.014706882484,-9.06933705926054,2.70921745023222e-06,9.64546694630869e-05,4.69499306453954
"ALDOA",-0.744600697253997,20.130461726358,-9.04774777007454,2.77066226465001e-06,9.7467940381438e-05,4.67105629034324
"BAP18",-0.59628503309416,11.3656402100829,-9.03237011226339,2.81534908968431e-06,9.78747830590253e-05,4.65397867807529
"YTHDF3",-0.547313971998792,11.8639992181438,-9.01326741552639,2.87195209952511e-06,9.8681609931357e-05,4.63273184472755
"FABP3",0.852064924081489,19.2425236589249,8.99011011109206,2.94222915386004e-06,9.99343350535221e-05,4.60692705406147
"MDH1",0.771892110853528,19.2697987066429,8.94835617707874,3.07369955614223e-06,0.000103213433959094,4.56026541618137
"GMPPB",-0.724998330500551,13.5495830060959,-8.93473905564214,3.11794197918774e-06,0.000103522680320222,4.54501030708568
"RPS27L",-0.46868115342429,12.9762363579539,-8.88902647931232,3.27158483673113e-06,0.000107417035472672,4.49366369958941
"IDI1",0.502148264502551,13.3370105576378,8.81991393710028,3.51967564257526e-06,0.000114292763997911,4.41563484866117
"CD38",-0.919398194395598,12.0055244446401,-8.79661507423296,3.60784676169196e-06,0.000115882469356519,4.38922144121383
"CASQ2",1.65087965209393,16.1673176411642,8.78121217056506,3.66744938107279e-06,0.000116530246463119,4.37172926002768
"MGLL",0.494475049254712,12.0549745906759,8.74244620821773,3.82223143790436e-06,0.000120156318074547,4.32759808630094
"ME2",0.894669559235638,12.825571248849,8.72260875455525,3.90416254333743e-06,0.000121440003321706,4.30495573459797
"GNAI3",-0.921064000728869,10.0175319923187,-8.68260287936504,4.07523895399662e-06,0.00012487522815233,4.25917041238286
"MACROD1",-0.443470054704118,15.6900255738914,-8.67716360118928,4.0991191643912e-06,0.00012487522815233,4.2529326273014
"RBM19",-1.27711332421453,12.7234347035277,-9.2405658409025,4.67691195803797e-06,0.000141023212612267,4.29575532421432
"TRDN",-0.521723689542302,13.8435229495786,-8.53042833402566,4.8041110462658e-06,0.000142615083322716,4.08349692510244
"UBE2R2",-1.12735095950507,14.4349842211782,-8.52620985033236,4.82622955406823e-06,0.000142615083322716,4.07859253983559
"TRIM21",-1.36543939986657,11.3885258984439,-8.46651557340156,5.15132889714614e-06,0.00015071462268383,4.00899099582639
"COBL",-0.530342734520628,12.4347621224393,-8.43679470967077,5.32196699251825e-06,0.000154180514342073,3.97419664558846
"DNAH10",-0.803053897472822,13.8769476031764,-8.42202398861873,5.40903891972796e-06,0.000155181650561127,3.95686951322205
"MYH16",-1.46595737729909,11.4400773020795,-9.95661515856466,5.61983447954524e-06,0.000159678950837079,4.32150808961693
"AGL",-0.741270612688467,17.7200007345349,-8.37825486887784,5.67623523101563e-06,0.000159745477215726,3.90538822114949
"SLC25A20",0.740928067851415,13.3761698014731,8.35774751021482,5.80631178047983e-06,0.000161864635012433,3.88119675388414
"ARF6",-0.420744137424711,12.2605118488674,-8.3381573796706,5.93358807131405e-06,0.000162558140824378,3.85804501282227
"CACNB1",-0.516387913386687,14.5880935827549,-8.33119344774424,5.97955730724628e-06,0.000162558140824378,3.84980501974614
"PPP1R14C",-1.12494430905593,11.4119527570357,-8.32868312560436,5.99622245342037e-06,0.000162558140824378,3.8468334252524
"EML2",0.68870678090355,11.65570439976,8.3114965297784,6.11167727537604e-06,0.000164181875897602,3.82647048439919
"TRMT112",-0.643300341724322,11.2018306135783,-8.27486803966186,6.36584574246891e-06,0.000169469136657618,3.78296564819554
"UBE2I",-0.486218742498414,12.2812232453133,-8.19423986647497,6.96656045878239e-06,0.000183805233533053,3.68668550158846
"ENDOD1",0.42551413587295,13.8933906656936,8.13634177369364,7.43566584438566e-06,0.000194445951948315,3.61710726719078
"NT5C2",0.600362465554696,11.204376775297,8.12081210448237,7.56722608724706e-06,0.000196150465682588,3.59838163035727
"GAPDH",-0.702461851245445,20.869844112763,-8.099108268341,7.75532685215304e-06,0.000199278181287933,3.57216631678003
"PGK2",-1.04362730913265,17.6398964102397,-8.08951964749389,7.84003390164132e-06,0.000199718104994397,3.56056785477663
"LDHB",2.05903199352263,17.2762250049009,8.04264580578265,8.26877779542326e-06,0.000208839644320305,3.50372114698623
"PGAM2",-0.814829423007737,18.0603704684676,-8.02083787129781,8.47683395323278e-06,0.000211453366343708,3.47718944335719
