"","P1_slow","P2_slow","P3_slow","P4_slow","P5_slow","P1_fast","P2_fast","P3_fast","P4_fast","P5_fast"
"HADHA",17.7610923405091,17.7974588859151,17.6670976784721,18.1456847973666,17.9090023720884,17.2142316483214,17.1976724086918,17.0504332498417,17.456775402451,17.4794880809928
"EIF2S3",12.9937154070218,13.5277091283561,13.5995525882371,13.430506237803,13.1373113907009,13.084975028207,13.6476344625066,13.7698481721652,13.6838718271792,13.2489830471041
"PRPH",12.2327784447287,11.6430715109924,12.7852142121896,11.8695437220187,11.9717842225403,11.9496735348024,11.7524224631944,11.9641170088526,11.8484390711562,11.7663787928016
"NAA10",11.7471523920244,11.7422378107927,11.8164504664285,11.2685770877139,11.4512317216143,11.4246660630613,11.7276766704142,11.7415849589758,11.756843998921,11.4233711426801
"PPP1R2",12.2903131207587,12.2197735508929,12.1305383881594,12.1989575675767,12.2997575118393,12.0582869274908,12.3585187838192,12.1801702439272,12.0681131954288,12.1926092136495
"CSK",11.7168708933914,11.8570712508096,11.9731297643047,12.0206233603594,11.6952329408285,11.596045293013,11.5941005568422,11.7235884239129,11.8052237104976,11.4602459786372
"GARS",11.6005040487296,11.6493909185825,11.8906864246085,11.7415766158819,11.6099030137349,11.7100295729877,11.7912076667694,11.7458192970393,11.7371543719862,11.5936365403672
"IARS",13.0684424160258,12.6717732414367,12.4015039406845,12.6313657944428,12.9255544398736,12.9630857260527,12.7211846538914,12.6928567905013,12.8954219288497,12.8974673417219
"EIF1",12.775198728898,12.9586723309152,13.2350748184746,12.9310473806476,12.9329528921947,12.8634952038383,13.2441304041165,13.1003109711073,13.1607333343203,13.1790669048257
"ACTR1B",10.701101911627,10.5948705123619,10.6114306135111,10.5070711295646,10.4915283160284,10.6562777540782,10.7269589046031,10.6038395810645,10.7313190310251,10.7469702563086
"ECI1",15.9633388470423,15.9726276151408,15.6250666780464,16.3035497603728,16.2212850178105,15.6194267145829,15.5806099775211,15.1862496793385,15.9349115549085,16.0999378227702
"TMPO",11.0084286220706,11.0604869831926,11.0301255181735,11.0223678130285,11.0556620421448,11.025222632538,10.8052977137823,10.740025256609,10.8766238223322,10.9554102744186
"STAT1",11.2817991275194,11.4199601778479,11.6838718686226,11.030853322923,11.1828515136168,11.2134084003646,11.6558124370858,12.0136297456386,11.4406169793275,11.1806329572741
"AKR1C3",13.0894029839075,14.0302015644059,14.103287808412,13.3691086014503,13.655083445198,11.7752234253207,12.9068978368826,12.6812032665253,12.0293735099766,12.058928628901
"MTOR",10.5579231464278,10.8846083045403,10.9297709570925,10.876516946565,10.6969675262343,10.9087528742401,10.891852039786,11.0751088948896,11.1072430554784,10.6416363392016
"RPS27",11.9251829137133,12.042179194629,12.0835600644398,11.9796877409775,11.9978851278291,11.999584319968,12.1063285167671,12.0661911421416,11.981057039877,12.0447415851766
"LRPPRC",14.7757108583577,14.8832160400522,14.9880899494887,14.9630462147306,14.9692651373733,14.5457698326936,14.6316777277893,14.6432981646455,14.7374358296761,14.7538036420596
"ACAA2",16.9141396925251,16.9881520976905,16.7725207763148,17.2391870920213,17.1011549786005,16.1221367860835,16.1483959412216,15.9598503080415,16.5205898081097,16.3870400226178
"RPL35",13.6325408765469,13.6438561897747,13.4245776756004,13.6054851086108,13.3442959079158,13.7801501297872,13.4322454851122,13.3639966916143,13.6958474420028,13.2874425703489
"PRCP",NA,11.20681291468,NA,NA,10.9801395776392,12.3916805713753,11.6133981252539,NA,10.8220717171525,11.8800636721261
"SLC1A4",11.9397004132368,11.5329908620526,11.6396708173967,11.3889213779982,11.4833498836768,12.0255618976434,11.6510944099702,12.0415393783391,11.7494125447622,11.3111976929521
"PAFAH1B1",12.2992080183873,12.5067693633488,12.6992072725824,12.4120405145517,12.3257259816711,12.428242123507,12.6169266827081,12.693663363227,12.545645033942,12.4192465518253
"CRAT",17.1793589808124,17.0318734751199,17.1992122284106,17.3427591953779,17.2651663319544,16.5767557465927,16.3610570618956,16.3479551711587,16.6683309362666,16.7344628360549
"MATR3",12.3581017074408,12.4699978686908,12.4235336876763,12.4234750826802,12.3796632762131,12.3773488272317,12.3286216386187,12.270588135264,12.3868675161459,12.3060103907725
"GPD2",13.1000528752943,12.8879821330585,12.6176406314158,12.7834075421735,13.0101784040205,13.8912593324346,13.586867650341,13.4620804450207,13.6948487838956,13.6964575872511
"SSR1",12.5234986640478,12.4532693817277,12.3359485652023,12.2697558670171,12.4914524973959,12.5411135596549,12.3880172853451,12.2006442417318,12.4189644036418,12.4399944632379
"RANBP1",10.1283822932835,9.9520583166779,10.2400757687642,10.4117334128319,10.5413289770456,9.95128471496697,10.3223439932202,NA,10.3219280948874,NA
"NAMPT",12.7457877521758,13.0490764081286,13.1876352083255,12.8691746296008,13.0728861602137,13.0923541340985,13.4242351963161,13.4965042933559,13.644233495754,13.3503457605502
"AFM",11.3633134643735,11.355731720023,11.1863488927684,11.2384806880306,10.8132521060305,11.2582951351032,11.167163012708,10.9792512947583,11.343030220305,11.036098040834
"PSMC4",13.3684154007702,13.2954389246632,13.2212850178105,13.2043742775849,13.2910411618289,13.47542934272,13.4063310253109,13.4223013403494,13.3699719119157,13.3718991269139
"TSFM",11.9223932935367,11.9255496728557,12.0342179523239,11.8482043704901,12.0867996856235,11.7233456586078,11.5845381406309,11.8787444967829,11.66277953554,11.8606098069813
"TNNT3",18.0763380359252,17.194602975158,17.1122460430019,17.6762578276154,17.4543876598409,21.1199943669447,21.1939865709306,21.1780435449902,21.123490336588,21.1954262776017
"ASPA",12.9648594655627,12.6415843160907,12.7803314286827,12.8015702537805,12.8147046211975,13.3017869493044,12.7044980869283,12.8014092818877,12.898588162009,12.6748702778902
"PPIC",12.4893440589464,12.3581017074408,11.6281265261803,11.9576788591115,12.235219192163,12.4299977174087,12.3654210915397,12.1219899532102,12.4929221979919,12.0871880245038
"VDAC2",17.8360963069068,17.7653314283103,17.6148104750252,17.9504734753747,17.8159273562473,17.4375351660286,17.129312224448,17.0305378258056,17.4652108532081,17.4607833058271
"ACADSB",13.960923503936,14.3020676725265,13.8804349080759,14.3781491030028,14.0188956211216,13.4987248033611,14.0030171295755,13.1691968954387,13.7966165472992,13.3697131985128
"USP5",13.8266328843001,13.8435285346111,14.0666778567995,13.8628194320743,13.7936033092794,13.8240730692835,13.8871720228507,14.0014081943928,13.8453770449061,13.7851217216662
"MAPK9",11.6489686878455,11.1519932312382,10.8578369724177,11.5745935273376,11.4248906044733,11.337304117315,11.1175555517029,11.3222661473127,11.2516601078425,11.4568010166826
"MAP2K4",11.0180100181276,10.7976615258538,10.9392412726403,10.7334983995378,10.8948811768994,11.0660988115284,10.8953783656823,10.948001086792,10.98284388019,10.8795373031792
"PHKA1",13.7744724667469,13.9840445629234,14.0914023269384,13.9576869652504,13.7313190310251,14.919913785643,14.8661197927841,14.9994715725327,15.1105320358088,14.7779124185578
"RANGAP1",7.9921099972363,8.65127417922764,8.39235699066815,8.42289273467554,8.70269172924495,8.24501766967864,8.81114988210991,8.81123817952725,8.85277011592023,8.64031363435054
"CRK",11.2134540516438,11.217655530235,11.1536711370916,11.0006444083397,10.9904602642297,11.3176991191777,11.048575421962,11.0494946374496,11.1818479626717,11.2126058142959
"CRKL",12.1324997296285,11.8841705191084,11.9837061926593,11.8254032167895,11.9801395776392,11.9028440780717,12.0345954978735,11.9435038196656,11.8671474392184,12.0759336805795
"MTIF2",11.025148806377,10.9446827823082,10.9850895418754,10.6520920661183,10.8095277549093,10.7606043868786,10.611503923508,10.8787562178407,10.9873137593197,10.7992071968294
"BAG6",12.8754421049495,13.0950227834732,12.844965013656,13.0552440982244,12.9527685431261,13.1411412184249,13.1895026166781,13.1074557610542,13.2294469014213,12.9377563301223
"NSF",12.7439913282204,13.2393001743642,12.7605557120252,12.7386340495209,12.8077574035893,12.6766009341034,12.9685561444867,12.7119551396779,12.836388905127,12.5910547740368
"CDKN1B",10.7565563225241,11.044476088339,10.4638002163473,11.3200186842692,11.1434562832668,11.3696900334588,11.3642772002454,11.0319488583718,11.2609512492577,11.2501301582571
"MAP2K3",11.5104575997325,11.8408251211341,12.015834895548,11.8454900509444,11.7110532028151,11.7635443642939,11.9872640120725,12.1239237397748,12.1040655277469,11.5629006467797
"BRCC3",13.8237652797897,14.0643975408121,14.1471493438543,14.0347818571188,14.0097411574523,14.1374795085181,14.1722166053452,14.307000333039,14.0563701986448,13.7395802215459
"RPL27A",14.2659080092311,13.1147183891884,13.2421380111342,13.1391724033384,13.6813316382958,13.7785401290187,13.3492581115677,13.4640096175384,13.7368228192599,13.4609395038507
