"","Genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","signifficant","names"
"1197","MRPL12",-0.31955519052436,9.65499368982823,-1.11080881170828,0.293439485537186,0.600852279909476,-5.48028450168229,0.675838284216465,"not signifficant",""
"1198","APOH",0.429633557223362,10.097005394449,1.10904835062746,0.294161557074975,0.601828027037365,-5.48208853770319,0.591135003714364,"not signifficant",""
"1199","PNPT1",-0.397475527124584,8.4745549338028,-1.10818376349297,0.294516682297742,0.601927671938309,-5.48297372670596,0.615154460560231,"not signifficant",""
"1200","SGSH",-0.616128561761123,9.63052217795338,-1.10773429629192,0.294701430569552,0.601927671938309,-5.48343369614096,0.471054595667909,"not signifficant",""
"1201","EPHX1",-0.584941594566121,12.4206790559256,-1.10651974232092,0.295201109570735,0.602446227775081,-5.48467591741757,0.489835176114276,"not signifficant",""
"1202","GPX4",-0.355059702971479,10.2058904848876,-1.10414950649153,0.296178142821713,0.60276258362611,-5.48709715086283,0.649186929212926,"not signifficant",""
"1203","MPO",0.467880110962927,8.91678585254928,1.10412248741877,0.296189294793149,0.60276258362611,-5.48712472841605,0.565923609511482,"not signifficant",""
"1204","ECI1",-0.459119105805195,14.1835638781093,-1.10386469428927,0.296295713863088,0.60276258362611,-5.48738782416663,0.572082975473424,"not signifficant",""
"1205","PSMB2",-0.289459015044537,10.7403337315256,-1.10353527483787,0.296431744050301,0.60276258362611,-5.48772395122456,0.703305229149494,"not signifficant",""
"1206","CUL1",-0.262849936656199,11.2633956052414,-1.10196479985686,0.297080921137836,0.60276258362611,-5.4893253497551,0.726850618849003,"not signifficant",""
"1207","STXBP3",-0.223870953474876,10.1746846467926,-1.10163007523864,0.297219426578071,0.60276258362611,-5.48966643983418,0.76214444499711,"not signifficant",""
"1208","TRMT10C",-0.370506662096837,10.6273014004097,-1.1013337292291,0.297342093161108,0.60276258362611,-5.48996835530643,0.638025424121149,"not signifficant",""
"1209","VARS1",-0.253123593859888,10.6676652446855,-1.10114958360211,0.297418336386979,0.60276258362611,-5.4901559304227,0.735693552077059,"not signifficant",""
"1210","PDAP1",-0.278276390279231,12.4371841548214,-1.10022611386649,0.297800916310202,0.60276258362611,-5.49109623666647,0.713848472466456,"not signifficant",""
"1211","APRT",0.347931855639766,12.7503044908775,1.10019122701346,0.297815376895642,0.60276258362611,-5.49113174773347,0.65609910370541,"not signifficant",""
"1212","FAM120A",0.429679974542534,9.06504320503464,1.09944203182172,0.298126049349759,0.602893520590972,-5.49189413988219,0.594511381322165,"not signifficant",""
"1213","VPS26A",-0.325885504603223,10.2976034306011,-1.09798492398563,0.298730994578996,0.603618852195481,-5.49337577531242,0.674530281077986,"not signifficant",""
"1214","RPS27L",-0.22572763519074,10.7349962559793,-1.09727763815202,0.299024979929553,0.603715177765513,-5.49409442412465,0.761469805611311,"not signifficant",""
"1215","CTPS2",0.285913960918,10.2030328557135,1.09644825164983,0.299370002079653,0.603765072435705,-5.49493668299281,0.708338153071655,"not signifficant",""
"1216","MRPL44",-0.323753505795707,8.56327156758768,-1.10318299030649,0.299542361518489,0.603765072435705,-5.48577943983026,0.676864166245432,"not signifficant",""
"1217","UCHL3",0.33744513875371,13.907957705809,1.09406389784998,0.300363601899293,0.604459003148358,-5.49735532128352,0.666399437635977,"not signifficant",""
"1218","VPS35",0.344989984366215,9.62385047351778,1.09402490552183,0.300379871821583,0.604459003148358,-5.49739484069436,0.660391792314733,"not signifficant",""
"1219","USP24",-0.210581809651456,10.2965839860424,-1.09320487662376,0.300722194624828,0.604651434803489,-5.49822570384636,0.776445796075531,"not signifficant",""
"1220","ZER1",0.378644757325576,10.0719917192103,1.0915419872331,0.301417297066721,0.605295506629604,-5.49990909386972,0.635023443265194,"not signifficant",""
"1221","MAP2K2",0.288256173849604,8.095480347122,1.0912572606798,0.301536439655139,0.605295506629604,-5.50019713312355,0.70780965700227,"not signifficant",""
"1222","LCMT1",-0.380833949023655,8.56828030713835,-1.08931604186426,0.302349703835666,0.606182361618683,-5.50215939703061,0.63410386382167,"not signifficant",""
"1223","CAPZA1",-0.76071769146941,8.16276621648305,-1.09557679676122,0.302680287080528,0.606182361618683,-5.49349644150522,0.40287976121202,"not signifficant",""
"1224","AP2B1",0.3063777534697,12.0938152083187,1.08784657761892,0.302966453846904,0.606182361618683,-5.50364300382095,0.693602780306341,"not signifficant",""
"1225","NEDD8",0.352308608672308,11.101530086518,1.08757677309213,0.3030797991102,0.606182361618683,-5.50391523745231,0.656671343819641,"not signifficant",""
"1226","SDHAF2",0.8556400423681,6.55805829073875,1.1550728583184,0.303441158962839,0.606182361618683,-5.08500774163493,0.360447645796267,"not signifficant",""
"1227","SYPL2",-0.571658426914949,13.6416043245724,-1.08609096127791,0.30370457681248,0.606182361618683,-5.50541349413661,0.50598651811117,"not signifficant",""
"1228","VPS35L",-0.308977039890555,10.8800429909732,-1.08567352786219,0.303880284372818,0.606182361618683,-5.50583413982964,0.692096984763619,"not signifficant",""
"1229","F13A1",-0.596671871217561,10.185018083436,-1.0849785543971,0.30417298886709,0.606182361618683,-5.50653418474164,0.49157821495825,"not signifficant",""
"1230","KHSRP",-0.209934930675246,10.3657843544099,-1.08483558243907,0.304233231820045,0.606182361618683,-5.50667815713865,0.778945412763831,"not signifficant",""
"1231","USP13",-0.543302736058152,8.58973606438699,-1.0843178935878,0.304451443146715,0.606182361618683,-5.50719934605495,0.524075595377717,"not signifficant",""
"1232","PSMD5",0.24023036484134,10.4688198524935,1.08338276268544,0.304845916262787,0.60625079666594,-5.50814031279513,0.751727506507166,"not signifficant",""
"1233","STT3A",0.746794041144311,9.06670781416977,1.09004035683197,0.304980510929867,0.60625079666594,-5.49908856489426,0.411962294353429,"not signifficant",""
"1234","AIDA",0.318263567203221,10.8817569387235,1.08116375988652,0.30578354923256,0.60719433303865,-5.51037065502353,0.68584513337148,"not signifficant",""
"1235","IGLC2",0.461938460707074,13.1738177784617,1.08038585574031,0.306112775067926,0.60719433303865,-5.51115169801092,0.578773809677402,"not signifficant",""
"1236","SKIC2",0.22437098605635,11.5765845680552,1.07991071292067,0.306313999842019,0.60719433303865,-5.51162854426478,0.766850576930457,"not signifficant",""
"1237","MYL1",-0.342968450144923,19.8284295579169,-1.07924739892482,0.306595085905615,0.60719433303865,-5.51229396505319,0.666665619640673,"not signifficant",""
"1238","NUP155",-0.327666088354789,8.74250098087584,-1.08593774061208,0.306693832844491,0.60719433303865,-5.50321881009801,0.678907567007252,"not signifficant",""
"1239","OSBPL6",-0.287280126180718,8.57855262201618,-1.07499406890205,0.308402190811725,0.609989724064037,-5.51655328321808,0.713236561916352,"not signifficant",""
