Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
DOHH,0.5245649910932961,9.884706297557361,1.4588407623986033,0.17126010823560242,0.6465401305658187,-4.856480582333601,0.39628066107010684,not signifficant,
HPX,0.5467410581586964,14.6951367004588,1.457009293689107,0.17175555966562855,0.6465401305658187,-4.858683679749222,0.3816755352852993,not signifficant,
SRI,0.46528394861643463,12.516926941100923,1.4569835189372462,0.17176254095232277,0.6465401305658187,-4.858714671537844,0.44057970836001414,not signifficant,
PPA1,0.5953219895865693,13.949776198905738,1.4510632169212005,0.1733724862269835,0.6476797108227713,-4.8658237183405975,0.35232881647338815,not signifficant,
DBI,0.48077614296651383,13.676264962216624,1.4509890151465834,0.17339274522425702,0.6476797108227713,-4.865912697972697,0.4306696050270965,not signifficant,
GPS1,-0.5956689392026568,7.979061205996144,-1.470594894266425,0.1735606355559,0.6476797108227713,-4.844033013529801,0.3523422489312049,not signifficant,
BPNT1,0.4781038782788194,8.828807931588916,1.4503678291464341,0.17356242366918392,0.6476797108227713,-4.8666574800410896,0.43289325943449614,not signifficant,
HDGF,0.5127560142797449,13.311095209133065,1.4498317245124757,0.17370897494454626,0.6476797108227713,-4.867300082843318,0.4075813379580799,not signifficant,
MRPS17,-0.49036100970618435,10.046593713768154,-1.4584341914238632,0.17383724143568866,0.6476797108227713,-4.8576527980169075,0.42402910460093435,not signifficant,
SLC27A1,-0.6281505125757096,12.65140273545339,-1.4489176644526878,0.17395908690853884,0.6476797108227713,-4.868395360393018,0.3333392613649799,not signifficant,
NAGK,0.4224015747903387,11.814409238524359,1.4474675684422242,0.17435649837987713,0.6481513309338911,-4.870132008434966,0.4781699446807768,not signifficant,
AHNAK,0.3957442800255304,13.969171182472202,1.44594773309871,0.1747738467787708,0.6486954871137633,-4.871950941140927,0.5014347019995158,not signifficant,
ALDH1A2,0.43377913431223725,10.72260072456164,1.4436315462069826,0.17541149905083,0.6488037654089173,-4.874720507996357,0.46998950452231486,not signifficant,
