,fiberID,subject,fiber_number,plate_number,plate_position,digestion_batch,MS_batch,date_isolation
646,P5_fibNumber43,P5,43,9,G7,5,3,03/11/2021
647,P5_fibNumber42,P5,42,1,H1,1,1,03/11/2021
648,P5_fibNumber41,P5,41,6,G4,3,2,03/11/2021
649,P5_fibNumber4,P5,4,4,G11,2,1,01/10/2021
650,P5_fibNumber39,P5,39,5,H12,3,2,03/11/2021
651,P5_fibNumber37,P5,37,3,E11,2,1,03/11/2021
652,P5_fibNumber35,P5,35,2,C2,1,1,03/11/2021
653,P5_fibNumber34,P5,34,7,H12,4,2,03/11/2021
654,P5_fibNumber33,P5,33,6,A9,3,2,03/11/2021
655,P5_fibNumber32,P5,32,1,C1,1,1,03/11/2021
656,P5_fibNumber31,P5,31,8,C9,4,3,03/11/2021
657,P5_fibNumber30,P5,30,6,G1,3,2,01/10/2021
658,P5_fibNumber3,P5,3,6,G10,3,2,01/10/2021
659,P5_fibNumber29,P5,29,4,G12,2,1,01/10/2021
660,P5_fibNumber28,P5,28,2,H6,1,1,01/10/2021
661,P5_fibNumber26,P5,26,3,E1,2,1,01/10/2021
662,P5_fibNumber25,P5,25,8,E2,4,3,01/10/2021
663,P5_fibNumber23,P5,23,9,E7,5,3,01/10/2021
664,P5_fibNumber22,P5,22,3,B1,2,1,01/10/2021
665,P5_fibNumber21,P5,21,1,G6,1,1,01/10/2021
666,P5_fibNumber200,P5,200,5,B11,3,2,11/12/2021
667,P5_fibNumber20,P5,20,9,B11,5,3,01/10/2021
668,P5_fibNumber199,P5,199,7,F4,4,2,11/12/2021
669,P5_fibNumber198,P5,198,10,C2,5,3,11/12/2021
670,P5_fibNumber197,P5,197,5,H8,3,2,11/12/2021
671,P5_fibNumber196,P5,196,9,D3,5,3,11/12/2021
672,P5_fibNumber195,P5,195,10,G7,5,3,11/12/2021
673,P5_fibNumber194,P5,194,9,H10,5,3,11/12/2021
674,P5_fibNumber193,P5,193,5,E9,3,2,11/12/2021
675,P5_fibNumber192,P5,192,4,C10,2,1,11/12/2021
676,P5_fibNumber191,P5,191,10,F3,5,3,11/12/2021
677,P5_fibNumber190,P5,190,4,G1,2,1,11/12/2021
678,P5_fibNumber19,P5,19,11,B7,6,3,01/10/2021
679,P5_fibNumber189,P5,189,7,C3,4,2,11/12/2021
680,P5_fibNumber188,P5,188,1,H11,1,1,11/12/2021
681,P5_fibNumber187,P5,187,2,F6,1,1,11/12/2021
682,P5_fibNumber186,P5,186,4,E1,2,1,11/12/2021
683,P5_fibNumber184,P5,184,5,H5,3,2,11/12/2021
684,P5_fibNumber183,P5,183,9,F12,5,3,11/12/2021
685,P5_fibNumber182,P5,182,9,A2,5,3,11/12/2021
686,P5_fibNumber181,P5,181,9,F10,5,3,11/12/2021
687,P5_fibNumber180,P5,180,6,E10,3,2,11/12/2021
688,P5_fibNumber18,P5,18,8,F2,4,3,01/10/2021
689,P5_fibNumber179,P5,179,2,F8,1,1,11/12/2021
690,P5_fibNumber178,P5,178,3,G8,2,1,11/12/2021
691,P5_fibNumber177,P5,177,4,G5,2,1,11/12/2021
692,P5_fibNumber176,P5,176,4,B11,2,1,11/12/2021
693,P5_fibNumber175,P5,175,4,C1,2,1,11/12/2021
694,P5_fibNumber174,P5,174,9,G6,5,3,11/12/2021
695,P5_fibNumber173,P5,173,1,D1,1,1,11/12/2021
696,P5_fibNumber172,P5,172,7,D12,4,2,11/12/2021
697,P5_fibNumber171,P5,171,1,F9,1,1,11/12/2021
698,P5_fibNumber170,P5,170,2,A6,1,1,11/12/2021
699,P5_fibNumber17,P5,17,2,F2,1,1,01/10/2021
700,P5_fibNumber169,P5,169,3,E6,2,1,11/12/2021
701,P5_fibNumber168,P5,168,1,E10,1,1,11/12/2021
702,P5_fibNumber167,P5,167,6,C12,3,2,11/12/2021
703,P5_fibNumber166,P5,166,1,D11,1,1,11/12/2021
704,P5_fibNumber165,P5,165,5,H11,3,2,09/12/2021
705,P5_fibNumber164,P5,164,8,C10,4,3,09/12/2021
706,P5_fibNumber163,P5,163,11,A12,6,3,09/12/2021
707,P5_fibNumber162,P5,162,1,H6,1,1,09/12/2021
708,P5_fibNumber161,P5,161,5,E4,3,2,09/12/2021
709,P5_fibNumber160,P5,160,4,H9,2,1,09/12/2021
710,P5_fibNumber16,P5,16,9,C3,5,3,01/10/2021
711,P5_fibNumber159,P5,159,5,D9,3,2,09/12/2021
