"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"USP48",-3.42442684625869,14.1329278340402,-11.5158671489891,2.72434589230643e-07,1.75009611125337e-05,7.14141219852262
"SART3",-0.959149199729328,14.4895941826335,-11.3296914257019,3.19554442717515e-07,2.00911357070268e-05,6.97188817226666
"PGM1",-0.592329514547703,19.6701067262075,-11.2866277413841,3.31672995051052e-07,2.04186187578304e-05,6.93232212050933
"PHKG1",-0.849542683922964,14.7302707845905,-11.2223307134961,3.50707432964731e-07,2.11498053961384e-05,6.8729965630341
"MYH4",-1.9055165003351,17.0285084562634,-11.1550341030957,3.71910557105775e-07,2.19799139249513e-05,6.81057921606329
"RYR1",-0.674924339701603,16.052726890094,-11.1253080446252,3.8171696166848e-07,2.21171298378502e-05,6.78290209970364
"GPI",-0.791562314801567,17.5899660736348,-11.0774280302913,3.98108751744085e-07,2.2623295411611e-05,6.7381844909694
"PNN",-1.55803950437408,11.4991207713417,-11.0282504872101,4.15745221663556e-07,2.31797571701096e-05,6.6920769985535
"CASQ1",-0.775820019706007,19.245074962572,-10.90733353781,4.62830304963746e-07,2.5327102799405e-05,6.57793397791382
"LRRC39",1.07404749142563,13.2740046043334,10.8568079247198,4.84196837245774e-07,2.60145755283866e-05,6.52990941977884
"JPH1",-0.717551655843041,13.4521790133962,-10.7857816310037,5.16067311157332e-07,2.72317661512485e-05,6.46206707694093
"MCU",0.853267126484296,13.0312069281149,10.754143132569,5.30992197609856e-07,2.75277534024057e-05,6.43172113770116
"TIMM17B",-1.15127321148798,14.9842658259691,-10.680792018799,5.67431422664576e-07,2.89096526547211e-05,6.36106628707552
"CYB5R1",0.870244766929275,16.6569327217929,10.5368826446706,6.47076698933185e-07,3.20743766660407e-05,6.22121346746735
"PYGM",-0.808001493716411,20.4100652377433,-10.5298704172184,6.51256379005903e-07,3.20743766660407e-05,6.2143567372596
"UBE2F",-0.874660173452073,10.019279765793,-10.4802741866993,6.81669806336009e-07,3.30218734052936e-05,6.16574744393385
"GPD1L",0.583815409813228,15.118654408123,10.438705090154,7.08351372050923e-07,3.37609403937174e-05,6.12485252934165
"CACNA1S",-0.677197438496508,14.1453703238256,-10.3613124292666,7.61101030785958e-07,3.56992626344842e-05,6.04834047555437
"PPP3CB",-0.806632976404677,13.4608806492046,-10.3343474993397,7.80470549566136e-07,3.6035788655749e-05,6.0215671257186
"PKM",-0.811331973478239,18.6229010377318,-10.3169015421401,7.93287415023246e-07,3.60640663291337e-05,6.00421321518563
"DNAH7",-3.47730706595594,16.4317385210255,-10.201702990561,8.83881242075285e-07,3.95737737929162e-05,5.88898872915083
"JSRP1",-0.895742253189688,13.4940593982645,-10.1458879870275,9.31766735627838e-07,4.10950851310487e-05,5.83276191488706
"MACF1",-1.51631719322838,11.3908746650775,-10.0359460271606,1.03454287212312e-06,4.49569733400563e-05,5.72123682576507
